tray,coordinate,temperature,replicate,DAS
B.1,b6,6C,rep3,17
B.1,b6,6C,rep3,18
B.1,b6,6C,rep3,19
B.1,b6,6C,rep3,20
B.1,b6,6C,rep3,21
A.4,e2,6C,rep3,0
A.4,e2,6C,rep3,1
A.4,e2,6C,rep3,2
A.4,e2,6C,rep3,3
A.4,e2,6C,rep3,4
A.4,e2,6C,rep3,5
A.4,e2,6C,rep3,6
A.4,e2,6C,rep3,7
A.4,e2,6C,rep3,8
A.4,e2,6C,rep3,9
A.4,e2,6C,rep3,10
A.4,e2,6C,rep3,11
A.4,e2,6C,rep3,12
A.4,e2,6C,rep3,13
A.4,e2,6C,rep3,14
A.4,e2,6C,rep3,15
A.4,e2,6C,rep3,16
A.4,e2,6C,rep3,17
A.4,e2,6C,rep3,18
A.4,e2,6C,rep3,19
A.4,e2,6C,rep3,20
A.4,e2,6C,rep3,21
C.9,b5,6C,rep3,0
C.9,b5,6C,rep3,1
C.9,b5,6C,rep3,2
C.9,b5,6C,rep3,3
C.9,b5,6C,rep3,4
C.9,b5,6C,rep3,5
C.9,b5,6C,rep3,6
C.9,b5,6C,rep3,7
C.9,b5,6C,rep3,8
C.9,b5,6C,rep3,9
C.9,b5,6C,rep3,10
C.9,b5,6C,rep3,11
C.9,b5,6C,rep3,12
C.9,b5,6C,rep3,13
C.9,b5,6C,rep3,14
C.9,b5,6C,rep3,15
C.9,b5,6C,rep3,16
C.9,b5,6C,rep3,17
C.9,b5,6C,rep3,18
C.9,b5,6C,rep3,19
C.9,b5,6C,rep3,20
C.9,b5,6C,rep3,21
B.8,e5,6C,rep3,0
B.8,e5,6C,rep3,1
B.8,e5,6C,rep3,2
B.8,e5,6C,rep3,3
B.8,e5,6C,rep3,4
B.8,e5,6C,rep3,5
B.8,e5,6C,rep3,6
B.8,e5,6C,rep3,7
B.8,e5,6C,rep3,8
B.8,e5,6C,rep3,9
B.8,e5,6C,rep3,10
B.8,e5,6C,rep3,11
B.8,e5,6C,rep3,12
B.8,e5,6C,rep3,13
B.8,e5,6C,rep3,14
B.8,e5,6C,rep3,15
B.8,e5,6C,rep3,16
B.8,e5,6C,rep3,17
B.8,e5,6C,rep3,18
B.8,e5,6C,rep3,19
B.8,e5,6C,rep3,20
B.8,e5,6C,rep3,21
B.7,c7,6C,rep2,0
B.7,c7,6C,rep2,1
B.7,c7,6C,rep2,2
B.7,c7,6C,rep2,3
B.7,c7,6C,rep2,4
B.7,c7,6C,rep2,5
B.7,c7,6C,rep2,6
B.7,c7,6C,rep2,7
B.7,c7,6C,rep2,8
B.7,c7,6C,rep2,9
B.7,c7,6C,rep2,10
B.7,c7,6C,rep2,11
B.7,c7,6C,rep2,12
B.7,c7,6C,rep2,13
B.7,c7,6C,rep2,14
B.7,c7,6C,rep2,15
B.7,c7,6C,rep2,16
B.7,c7,6C,rep2,17
B.7,c7,6C,rep2,18
B.7,c7,6C,rep2,19
B.7,c7,6C,rep2,20
B.7,c7,6C,rep2,21
D.7,a3,6C,rep3,0
D.7,a3,6C,rep3,1
D.7,a3,6C,rep3,2
D.7,a3,6C,rep3,3
D.7,a3,6C,rep3,4
D.7,a3,6C,rep3,5
D.7,a3,6C,rep3,6
D.7,a3,6C,rep3,7
D.7,a3,6C,rep3,8
D.7,a3,6C,rep3,9
D.7,a3,6C,rep3,10
D.7,a3,6C,rep3,11
D.7,a3,6C,rep3,12
D.7,a3,6C,rep3,13
D.7,a3,6C,rep3,14
D.7,a3,6C,rep3,15
D.7,a3,6C,rep3,16
D.7,a3,6C,rep3,17
D.7,a3,6C,rep3,18
D.7,a3,6C,rep3,19
D.7,a3,6C,rep3,20
D.7,a3,6C,rep3,21
